1000SATS
AAVE
ADA
ALGO
AMP
APT
ARB
ASTR
ATOM
AVAX
AXS
BCH
BLUR
BNB
BONK
BTC
CAKE
CFX
CHZ
CRV
DOGE
DOT
DYM
EGLD
ENJ
ENS
EOS
ETC
ETH
FIL
FLOW
FTM
GALA
GNO
GRT
HBAR
ICP
ILV
IMX
INJ
IOTA
JUP
KAVA
KLAY
KSM
LDO
LINK
LRC
LTC
LUNA
LUNC
MANA
MANTA
MATIC
MINA
MKR
NEAR
NEO
OP
ORDI
OSMO
PENDLE
PYR
PYTH
QNT
RAY
REN
RNDR
ROSE
RUNE
SAND
SEI
SHIB
SNX
SOL
STX
SUI
THETA
TIA
TRX
UNI
USDC
VET
WOO
XLM
XMR
XRP
XTZ
ZIL
