1000SATS
1INCH
AAVE
ACA
ACE
ACH
ACM
ADA
ADX
AERGO
AEUR
AEVO
AGIX
AGLD
AI
AKRO
ALCX
ALGO
ALICE
ALPACA
ALPHA
ALPINE
ALT
AMB
AMP
ANKR
APE
API3
APT
ARB
ARDR
ARKM
ARK
ARPA
AR
ASR
ASTR
AST
ATA
ATM
ATOM
AUCTION
AUDIO
AVA
AVAX
AXL
AXS
BADGER
BAKE
BAL
BAND
BAR
BAT
BB
BCH
BEAMX
BEL
BETA
BICO
BIFI
BLUR
BLZ
BNB
BNT
BNX
BOME
BOND
BONK
BSW
BTC
BTTC
BURGER
C98
CAKE
CELO
CELR
CFX
CHESS
CHR
CHZ
CITY
CKB
CLV
COMBO
COMP
COS
COTI
CREAM
CRV
CTK
CTSI
CTXC
CVC
CVP
CVX
CYBER
DAR
DASH
DATA
DCR
DEGO
DENT
DEXE
DF
DGB
DIA
DOCK
DODO
DOGE
DOT
DUSK
DYDX
DYM
EDU
EGLD
ELF
ENA
ENJ
ENS
EOS
EPX
ERN
ETC
ETHFI
ETH
EUR
FARM
FDUSD
FET
FIDA
FIL
FIO
FIRO
FIS
FLM
FLOKI
FLOW
FLUX
FORTH
FOR
FRONT
FTM
FTT
FUN
FXS
GALA
GAL
GAS
GFT
GHST
GLMR
GLM
GMT
GMX
GNO
GNS
GRT
GTC
HARD
HBAR
HFT
HIFI
HIGH
HIVE
HOOK
HOT
ICP
ICX
IDEX
ID
ILV
IMX
INJ
IOST
IOTA
IOTX
IQ
IRIS
JASMY
JOE
JST
JTO
JUP
JUV
KAVA
KDA
KEY
KLAY
KMD
KNC
KP3R
KSM
LAZIO
LDO
LEVER
LINA
LINK
LIT
LOKA
LOOM
LPT
LQTY
LRC
LSK
LTC
LTO
LUNA
LUNC
MAGIC
MANA
MANTA
MASK
MATIC
MAV
MBL
MBOX
MDT
MDX
MEME
METIS
MINA
MKR
MLN
MOVR
MTL
NEAR
NEO
NEXO
NFP
NKN
NMR
NOT
NTRN
NULS
OAX
OCEAN
OGN
OG
OMG
OMNI
OM
ONE
ONG
ONT
OOKI
OP
ORDI
ORN
OSMO
OXT
PAXG
PDA
PENDLE
PEOPLE
PEPE
PERP
PHA
PHB
PIVX
PIXEL
POLS
POLYX
POND
PORTAL
PORTO
POWR
PROM
PROS
PSG
PUNDIX
PYR
PYTH
QI
QKC
QNT
QTUM
QUICK
RAD
RARE
RAY
RDNT
REEF
REI
REN
REQ
REZ
RIF
RLC
RNDR
RONIN
ROSE
RPL
RSR
RUNE
RVN
SAGA
SAND
SANTOS
SCRT
SC
SEI
SFP
SHIB
SKL
SLP
SNT
SNX
SOL
SPELL
SSV
STEEM
STG
STMX
STORJ
STPT
STRAX
STRK
STX
SUI
SUN
SUPER
SUSHI
SXP
SYN
SYS
TAO
TFUEL
THETA
TIA
TKO
TLM
TNSR
TRB
TROY
TRU
TRX
T
TUSD
TWT
UFT
UMA
UNFI
UNI
USDC
USDP
USTC
UTK
VANRY
VET
VGX
VIB
VIC
VIDT
VITE
VOXEL
VTHO
WAN
WAVES
WAXP
WBETH
WBTC
WIF
WING
WIN
WLD
WNXM
WOO
WRX
W
XAI
XEC
XEM
XLM
XNO
XRP
XTZ
XVG
XVS
YFI
YGG
ZEC
ZEN
ZIL
ZRX
